ID;Country;owns_car;owns_TV;owns_house;owns_Phone;gender;Age
123;A;0;0;0;1;M;42
124;A;0;0;0;1;M;64
125;C;1;1;1;1;K;20
126;A;0;0;0;1;M;25
127;B;0;0;0;1;M;60
128;A;0;0;0;0;M;52
129;A;0;0;;1;M;66
130;B;0;1;0;1;K;59
131;D;1;1;1;1;K;65
132;B;0;1;0;1;K;62
133;A;0;0;0;1;M;62
134;D;1;1;1;1;K;66
135;A;0;0;0;1;M;29
136;C;1;1;1;1;K;21
137;C;1;1;1;1;K;21
138;B;0;0;0;1;M;43
139;A;0;0;0;1;M;59
140;A;0;0;0;1;M;40
141;A;0;0;0;1;M;49
142;B;0;0;0;1;K;46
143;C;0;1;0;1;K;21
144;B;0;1;0;1;K;60
145;A;0;0;0;1;M;19
146;C;1;1;1;1;K;67
147;C;1;1;1;1;K;44
148;C;1;1;1;1;K;29
149;B;0;0;0;1;M;60
150;C;1;1;1;1;K;45
151;C;0;1;0;1;K;56
152;C;1;1;1;1;K;63
153;A;0;0;0;1;M;59
154;C;1;1;1;1;K;34
155;A;0;0;0;1;M;28
156;C;1;1;;1;K;27
157;D;1;1;1;1;K;56
158;B;0;1;0;1;K;25
159;B;0;1;0;1;K;48
160;D;1;1;1;1;K;61
161;B;0;1;0;1;K;65
162;C;0;1;0;1;K;31
163;A;0;0;0;1;M;19
164;A;0;0;0;1;M;45
165;A;0;0;0;1;M;66
166;C;0;1;0;1;K;48
167;A;0;0;0;1;M;19
168;C;1;1;0;1;K;61
169;A;0;0;0;0;M;55
170;C;1;1;1;1;K;49
171;A;0;0;0;1;M;63
172;B;0;1;0;1;K;42
173;D;1;1;1;1;K;30
174;B;0;1;0;1;K;58
175;A;0;0;0;1;;64
176;D;1;1;1;1;K;29
177;C;0;1;;1;K;49
178;C;0;1;0;1;K;31
179;B;0;0;0;1;K;46
180;B;0;0;0;1;M;53
181;A;0;0;0;1;M;44
182;C;0;1;0;1;K;24
183;B;0;1;0;1;K;41
184;A;0;0;0;1;M;62
185;C;1;1;1;1;K;51
186;D;1;1;1;1;K;34
187;B;0;0;0;1;M;27
188;A;0;0;0;1;M;56
189;C;0;1;0;1;K;59
190;A;0;0;0;1;M;18
191;A;0;0;0;0;M;26
192;A;0;0;0;1;M;47
193;B;0;1;0;1;K;24
194;A;0;0;0;1;M;38
195;A;0;0;0;1;M;47
196;A;0;0;0;1;M;58
197;D;1;1;1;1;K;50
198;D;1;1;1;1;K;24
199;B;0;1;0;1;K;58
200;A;0;0;0;1;;59
201;A;0;0;0;1;M;47
202;A;0;0;0;1;M;31
203;A;0;0;0;1;M;60
204;B;0;0;0;1;M;36
205;C;0;1;0;1;K;52
206;B;0;0;0;1;M;30
207;D;1;1;1;1;K;28
208;A;0;0;0;1;M;28
209;A;0;0;0;1;M;60
210;D;1;1;1;1;K;23
211;B;0;0;0;1;M;42
212;A;0;0;0;1;M;48
213;A;0;0;0;1;M;39
214;D;1;1;1;1;K;53
215;B;0;1;0;1;K;59
216;A;0;0;0;1;M;39
217;A;0;0;0;1;M;63
218;C;0;1;0;1;K;43
219;C;1;1;0;1;K;52
220;B;0;1;0;1;K;35
221;A;0;0;0;1;M;59
222;A;0;0;0;1;M;33
223;A;0;0;0;1;M;46
224;A;0;0;0;1;M;37
225;C;1;1;0;1;K;40
226;B;0;0;0;1;M;34
227;A;0;0;0;1;M;51
228;C;1;1;1;1;K;21
229;B;0;1;0;1;K;51
230;B;0;1;0;1;K;42
231;C;0;1;0;1;K;61
232;C;1;1;1;1;K;22
233;D;1;1;1;1;K;62
234;A;0;0;0;1;M;42
235;C;0;1;0;1;K;24
236;D;1;1;1;1;K;27
237;A;0;0;0;0;M;37
238;C;1;1;0;1;K;22
239;D;1;1;1;1;K;37
240;A;0;0;0;1;M;47
241;B;0;1;0;1;;51
242;B;0;0;0;1;M;48
243;B;0;0;0;1;K;25
244;A;0;0;0;1;M;27
245;C;0;1;0;1;K;55
246;C;1;1;1;1;K;42
247;A;0;0;0;1;M;24
248;C;1;1;0;1;K;41
249;B;0;0;0;1;M;29
250;C;0;1;0;1;K;60
251;A;0;0;0;1;M;33
252;B;0;1;0;1;K;40
253;A;0;0;0;1;M;62
254;B;0;0;0;1;K;25
255;A;0;0;0;0;M;39
256;A;0;0;0;1;M;43
257;A;0;0;0;1;M;57
258;A;0;0;0;0;M;59
259;B;0;0;0;1;M;32
260;B;0;1;0;1;K;41
261;C;0;1;0;1;K;44
262;A;0;0;0;1;M;48
263;A;0;0;0;1;M;30
264;B;0;1;0;1;K;41
265;A;0;0;0;1;M;60
266;A;0;0;0;0;M;27
267;A;0;0;0;1;M;34
268;D;1;1;1;1;K;40
269;B;0;0;0;1;K;24
270;B;0;1;0;1;K;65
271;D;1;1;1;1;K;24
272;A;0;0;0;0;M;42
273;B;0;1;0;1;K;24
274;D;1;1;1;1;K;61
275;A;0;0;0;1;M;43
276;B;0;1;0;1;K;30
277;D;1;1;1;1;K;25
278;A;0;0;0;0;M;35
279;;0;1;0;1;K;24
280;;0;0;0;1;M;33
281;;0;0;0;1;M;45
282;;0;0;0;1;M;51
283;;0;0;0;1;M;60
284;;0;0;0;1;M;64
285;;0;0;0;1;M;19
286;A;0;0;0;1;M;34
287;C;1;1;1;1;K;45
288;A;0;0;0;1;M;50
289;A;0;0;0;1;M;58
290;A;0;0;0;1;M;34
291;B;0;0;0;1;K;59
292;A;0;0;0;0;M;62
293;A;0;0;0;1;M;62
294;A;0;0;0;1;M;44
295;A;0;0;0;1;M;29
296;A;0;0;0;1;M;24
297;D;1;1;1;1;K;24
298;C;1;1;1;1;K;24
299;C;0;1;0;1;K;20
300;A;0;0;0;1;M;53
301;A;0;0;0;1;M;60
302;A;0;0;0;0;M;61
303;D;1;1;1;1;K;55
304;B;0;0;0;1;M;20
305;C;0;1;0;1;K;19
306;C;1;1;0;1;K;36
307;A;0;0;0;1;M;61
308;A;0;0;0;1;M;41
309;C;1;1;1;1;K;60
310;B;0;0;0;1;K;38
311;A;0;0;0;1;M;61
312;B;0;0;0;1;M;39
313;A;0;0;0;0;M;23
314;C;1;1;0;1;K;26
315;A;0;0;0;1;M;21
316;A;0;0;0;1;M;18
317;B;0;0;0;1;K;27
318;A;0;0;0;1;M;30
319;B;0;0;0;1;K;18
320;A;0;0;0;1;M;57
321;C;1;1;0;1;K;41
322;A;0;0;0;1;M;40
323;A;0;0;0;0;M;65
324;A;0;0;0;1;M;18
325;D;1;1;1;1;K;63
326;C;1;1;1;1;K;56
327;D;1;1;1;1;K;55
328;B;0;0;0;1;M;44
329;A;0;0;0;1;M;67
330;C;1;1;1;1;K;50
331;A;0;0;0;1;M;35
332;A;0;0;0;1;M;33
333;A;0;0;0;1;M;27
334;B;0;1;0;1;K;39
335;A;0;0;0;1;M;27
336;B;0;0;;1;M;67
337;A;0;0;0;1;M;24
338;C;;1;0;1;K;34
339;A;0;0;0;1;M;64
340;A;0;0;0;1;M;40
341;A;0;0;0;1;M;40
342;C;1;1;1;1;K;35
343;A;0;0;0;1;M;55
344;A;0;0;0;0;M;37
345;D;1;1;1;1;K;20
346;B;0;0;0;1;M;39
347;A;0;0;0;1;M;24
348;A;0;0;0;1;M;61
349;B;0;1;0;1;K;39
350;A;0;0;0;1;M;36
351;A;0;0;0;1;M;53
352;D;1;1;1;1;K;59
353;B;0;1;0;1;K;32
354;C;1;1;1;1;K;38
355;A;0;0;0;1;M;46
356;A;0;0;0;1;M;64
357;C;1;1;1;1;K;29
358;C;1;1;1;1;K;37
359;C;1;1;0;1;;45
360;A;0;0;0;1;M;66
361;A;0;0;0;1;M;31
362;B;0;;0;1;M;30
363;A;0;0;0;1;M;55
364;C;0;1;0;1;K;38
365;B;0;0;0;1;K;60
366;C;1;1;1;1;K;35
367;C;0;1;0;1;K;32
368;C;0;1;0;1;K;54
369;B;0;0;0;1;K;32
370;A;0;0;0;1;M;49
371;C;0;1;0;1;K;21
372;B;0;1;0;1;K;21
373;A;0;0;0;0;M;44
374;B;0;0;0;1;M;29
375;A;0;0;0;1;M;43
376;A;0;0;0;1;M;33
377;B;0;0;0;1;M;56
378;A;0;0;0;1;M;54
379;A;0;0;0;1;M;48
380;B;0;0;0;1;M;52
381;C;1;1;1;1;K;40
382;B;0;0;0;1;M;36
383;B;0;1;0;1;K;64
384;C;1;1;1;1;K;58
385;B;0;0;0;1;M;57
386;B;0;0;0;1;K;49
387;C;0;1;0;1;K;35
388;B;0;0;0;1;K;57
389;B;0;1;0;1;K;63
390;C;1;1;1;1;K;62
391;B;0;0;0;1;M;23
392;A;0;0;0;0;M;66
393;B;0;1;0;1;K;33
394;A;0;0;0;1;M;54
395;C;1;1;0;1;K;50
396;A;0;0;0;1;M;39
397;A;0;0;0;0;M;57
398;A;0;0;0;0;M;19
399;B;0;0;0;1;K;57
400;C;1;1;1;1;K;49
401;C;1;1;1;1;K;64
402;A;0;0;0;1;M;18
403;B;0;1;0;1;K;32
404;A;0;0;0;1;M;38
405;C;1;1;1;1;K;47
406;D;1;1;1;1;K;38
407;C;0;1;0;1;K;60
408;C;0;1;0;1;K;48
409;B;0;0;0;1;M;49
410;A;0;0;0;1;M;61
411;B;0;0;0;1;M;51
412;B;0;1;0;1;K;40
413;B;0;0;0;1;M;32
414;B;0;0;0;1;K;49
415;B;0;1;0;1;K;61
416;C;0;1;0;1;K;26
417;A;0;0;0;1;M;26
418;C;1;1;0;1;K;21
419;A;0;0;0;0;M;46
420;A;0;0;0;1;M;34
421;C;1;1;1;1;K;47
422;A;0;0;0;1;M;47
423;C;0;1;0;1;K;66
424;B;0;0;0;1;M;67
425;C;0;1;0;1;K;53
426;C;0;1;0;1;K;52
427;D;1;1;1;1;K;64
428;A;0;0;0;1;M;33
429;C;0;1;0;1;K;38
430;A;0;0;0;1;M;59
431;A;0;0;0;1;M;37
432;A;0;0;0;0;M;54
433;A;0;0;0;1;M;34
434;A;0;0;0;1;M;54
435;D;1;1;1;1;K;34
436;D;1;1;1;1;K;52
437;C;1;1;1;1;K;67
438;A;0;0;0;1;M;20
439;C;1;1;1;1;K;40
440;B;0;0;0;1;M;33
441;B;0;1;0;1;K;25
442;A;0;0;0;1;M;23
443;A;0;0;0;1;M;55
444;A;0;0;0;1;M;28
445;B;0;0;0;1;M;20
446;A;0;0;0;1;M;20
447;D;1;1;1;1;K;30
448;C;0;1;0;1;K;26
449;B;0;0;0;1;M;27
450;B;0;1;0;1;K;28
451;A;0;0;0;0;M;25
452;B;0;0;0;1;M;54
453;C;0;1;0;1;K;58
454;A;0;0;0;1;M;41
455;D;1;1;1;1;K;32
456;B;0;0;0;1;M;62
457;C;1;1;1;1;K;49
458;A;0;0;0;1;M;33
459;B;0;1;0;1;K;57
460;D;1;1;1;1;K;25
461;A;0;0;0;1;M;51
462;C;1;1;0;1;K;45
463;B;0;0;0;1;M;45
464;A;0;0;0;1;M;60
465;B;0;0;0;1;M;31
466;C;1;1;1;1;K;37
467;B;0;0;0;1;M;19
468;B;0;1;0;1;K;67
469;B;0;0;0;1;M;64
470;B;0;0;0;1;K;24
471;A;0;0;0;1;M;24
472;D;1;1;1;1;K;27
473;B;0;1;0;1;K;26
474;A;0;0;0;1;M;59
475;B;0;1;0;1;K;66
476;D;1;1;1;1;K;33
477;A;0;0;0;1;M;50
478;A;0;0;0;0;M;49
479;A;0;0;0;1;M;61
480;B;0;1;0;1;K;21
481;A;0;0;0;1;M;45
482;B;0;1;0;1;K;37
483;C;1;1;1;1;K;50
484;D;1;1;1;1;K;27
485;A;0;0;0;1;M;37
486;A;0;0;0;1;M;48
487;C;1;1;1;1;K;34
488;C;1;1;1;1;K;50
489;B;0;0;0;1;M;27
490;A;0;0;0;1;M;29
491;A;0;0;0;1;M;31
492;A;0;0;0;1;M;66
493;C;0;1;0;1;K;42
494;A;0;0;0;0;M;21
495;A;0;0;0;1;M;53
496;A;0;0;0;1;M;64
497;C;1;1;1;1;K;35
498;A;0;0;0;1;M;28
499;C;1;1;1;1;K;18
500;A;0;0;0;1;M;56
501;B;0;1;0;1;K;46
502;A;0;0;0;0;M;35
503;B;0;0;0;1;M;29
504;C;0;1;0;1;K;49
505;A;0;0;0;0;M;53
506;B;0;1;0;1;K;64
507;A;0;0;0;1;M;67
508;A;0;0;0;1;M;59
509;D;1;1;1;1;K;53
510;C;1;1;1;1;K;65
511;A;0;0;0;1;M;64
512;B;0;0;0;1;K;31
513;B;0;0;0;1;K;64
514;B;0;0;0;1;M;59
515;A;0;0;0;1;M;19
516;B;0;1;0;1;K;41
517;A;0;0;0;1;M;27
518;A;0;0;0;0;M;61
519;C;1;1;0;1;K;54
520;C;1;1;1;1;K;33
521;C;0;1;0;1;K;24
522;A;0;0;0;1;M;53
523;D;1;1;1;1;K;62
524;B;0;0;0;1;K;41
525;A;0;0;0;1;M;58
526;B;0;0;0;1;M;44
527;C;0;1;0;1;K;38
528;B;0;1;0;1;K;25
529;B;0;1;0;1;K;20
530;A;0;0;0;1;M;28
531;C;0;1;0;1;K;65
532;C;1;1;0;1;K;67
533;B;0;0;0;1;M;30
534;D;1;1;1;1;K;65
535;A;0;0;0;1;M;46
536;B;0;0;0;1;M;66
537;C;0;1;0;1;K;19
538;B;0;1;0;1;K;62
539;B;0;1;0;1;K;35
540;C;0;1;0;1;K;49
541;C;0;1;0;1;K;40
542;A;0;0;0;1;M;42
543;A;0;0;0;1;M;32
544;A;0;0;0;1;M;65
545;A;0;0;0;1;M;20
546;A;0;0;0;1;M;26
547;C;0;1;0;1;K;59
548;A;0;0;0;1;M;38
549;B;0;0;0;1;M;53
550;A;0;0;0;0;M;48
551;B;0;0;0;1;M;19
552;C;0;1;0;1;K;67
553;B;0;1;0;1;K;38
554;A;0;0;0;1;M;67
555;C;1;1;1;1;K;45
556;B;0;0;0;1;M;64
557;A;0;0;0;0;M;28
558;A;0;0;0;1;M;22
559;B;0;1;0;1;K;18
560;C;1;1;0;1;K;22
561;C;1;1;0;1;K;39
562;C;1;1;0;1;K;41
563;C;1;1;1;1;K;63
564;C;1;1;1;1;K;49
565;A;0;0;0;1;M;40
566;A;0;0;0;1;M;36
567;A;0;0;0;1;M;18
568;A;0;0;0;1;M;58
569;A;0;0;0;1;M;32
570;C;0;1;0;1;K;66
571;C;1;1;1;1;K;25
572;B;0;1;0;1;K;66
573;A;0;0;0;1;M;62
574;A;0;0;0;1;M;26
575;D;1;1;1;1;K;24
576;C;0;1;0;1;K;40
577;B;0;1;0;1;K;65
578;C;0;1;0;1;K;20
579;B;0;0;0;1;K;18
580;B;0;0;0;1;M;40
581;D;1;1;1;1;K;49
582;C;0;1;0;1;K;55
583;D;1;1;1;1;K;58
584;A;0;0;0;1;M;53
585;C;1;1;1;1;K;30
586;B;0;0;0;1;K;43
587;A;0;0;0;0;M;18
588;A;0;0;0;0;M;45
589;B;0;0;0;1;K;57
590;B;0;1;0;1;K;60
591;B;0;1;0;1;K;50
592;B;0;1;0;1;K;57
593;A;0;0;0;1;M;46
594;A;0;0;0;1;M;54
595;C;0;1;0;1;K;43
596;B;0;1;0;1;K;30
597;A;0;0;0;1;M;33
598;A;0;0;0;1;M;28
599;C;0;1;0;1;K;34
600;A;0;0;0;1;M;46
601;A;0;0;0;1;M;24
602;B;0;0;0;1;M;37
603;C;0;1;0;1;K;65
604;B;0;1;0;1;K;22
605;A;0;0;0;1;M;51
606;B;0;0;0;1;M;31
607;A;0;0;0;1;M;34
608;A;0;0;0;1;M;48
609;B;0;0;0;1;M;42
610;C;1;1;0;1;K;48
611;C;1;1;1;1;K;59
612;B;0;1;0;1;K;31
613;C;0;1;0;1;K;43
614;B;0;1;0;1;K;55
615;B;0;1;0;1;K;60
616;D;1;1;1;1;K;52
617;A;0;0;0;1;M;45
618;A;0;0;0;0;M;37
619;A;0;0;0;1;M;54
620;D;1;1;1;1;K;45
621;C;1;1;1;1;K;67
622;A;0;0;0;1;M;41
623;C;1;1;1;1;K;23
624;D;1;1;1;1;K;18
625;A;0;0;0;1;M;19
626;C;1;1;1;1;K;42
627;A;0;0;0;1;M;40
628;A;0;0;0;1;M;50
629;D;1;1;1;1;K;36
630;A;0;0;0;1;M;45
631;A;0;0;0;1;M;59
632;C;0;1;0;1;K;44
633;C;1;1;1;1;K;45
634;A;0;0;0;1;M;65
635;A;0;0;0;1;M;22
636;A;0;0;0;1;M;45
637;A;0;0;0;1;M;40
638;A;0;0;0;1;M;45
639;C;1;1;1;1;K;30
640;D;1;1;1;1;K;37
641;A;0;0;0;1;M;64
642;D;1;1;1;1;K;19
643;A;0;0;0;1;M;35
644;C;0;1;0;1;K;40
645;B;0;0;0;1;M;66
646;C;0;1;0;1;K;25
647;A;0;0;0;1;M;38
648;A;0;0;0;1;M;65
649;A;0;0;0;1;M;66
650;A;0;0;0;1;M;53
651;C;0;1;0;1;K;64
652;C;1;1;1;1;K;59
653;B;0;1;0;1;K;53
654;B;0;1;0;1;K;45
655;B;0;0;0;1;M;26
656;B;0;0;0;1;K;37
657;A;0;0;0;1;M;40
658;B;0;1;0;1;K;31
659;A;0;0;0;1;M;45
660;C;0;1;0;1;K;55
661;A;0;0;0;1;M;20
662;A;0;0;0;1;M;28
663;A;0;0;0;1;M;60
664;A;0;0;0;1;M;66
665;B;0;0;0;1;K;51
666;C;1;1;1;1;K;41
667;A;0;0;0;1;M;48
668;D;1;1;1;1;K;31
669;B;0;0;0;1;K;44
670;A;0;0;0;1;M;43
671;D;1;1;1;1;K;56
672;A;0;0;0;1;M;47
673;C;1;1;1;1;K;52
674;C;0;1;0;1;K;67
675;A;0;0;0;1;M;55
676;C;0;1;0;1;K;59
677;C;1;1;1;1;K;50
678;A;0;0;0;1;M;55
679;A;0;0;0;1;M;51
680;A;0;0;0;1;M;33
681;C;1;1;0;1;K;21
682;B;0;0;0;1;M;56
683;C;0;1;0;1;K;22
684;B;0;1;0;1;K;19
685;C;1;1;1;1;K;29
686;A;0;0;0;1;M;57
687;B;0;0;0;1;K;19
688;B;0;0;0;1;K;25
689;A;0;0;0;1;M;57
690;A;0;0;0;1;M;66
691;A;0;0;0;1;M;49
692;D;1;1;1;1;K;18
693;C;1;1;1;1;K;59
694;C;0;1;0;1;K;44
695;A;0;0;0;1;M;55
696;D;1;1;1;1;K;33
697;A;0;0;0;1;M;44
698;A;0;0;0;1;M;63
699;A;0;0;0;1;M;62
700;A;0;0;0;1;M;47
701;B;0;0;0;1;M;35
702;C;1;1;1;1;K;29
703;B;0;0;0;1;M;49
704;A;0;0;0;1;M;41
705;A;0;0;0;1;M;60
706;D;1;1;1;1;K;60
707;D;1;1;1;1;K;66
708;A;0;0;0;1;M;52
709;C;0;1;0;1;K;29
710;B;0;1;0;1;K;58
711;D;1;1;1;1;K;51
712;C;0;1;0;1;K;55
713;A;0;0;0;1;M;30
714;C;1;1;1;1;K;46
715;B;0;1;0;1;K;24
716;B;0;1;0;1;K;37
717;C;1;1;1;1;K;37
718;D;1;1;1;1;K;21
719;A;0;0;0;1;M;47
720;B;0;0;0;1;M;43
721;A;0;0;0;1;M;38
722;A;0;0;0;1;M;60
723;B;0;1;0;1;K;56
724;A;0;0;0;1;M;53
725;B;0;1;0;1;K;53
726;C;1;1;0;1;K;50
727;A;0;0;0;0;M;64
728;C;1;1;1;1;K;33
729;C;1;1;1;1;K;25
730;B;0;0;0;1;K;23
731;A;0;0;0;1;M;43
732;B;0;1;0;1;K;34
733;B;0;1;0;1;K;29
734;C;1;1;1;1;K;50
735;B;0;1;0;1;K;43
736;A;0;0;0;1;M;31
737;A;0;0;0;1;M;21
738;B;0;1;0;1;K;57
739;A;0;0;0;1;M;62
740;A;0;0;0;0;M;28
741;C;0;1;0;1;K;43
742;D;1;1;1;1;K;31
743;B;0;0;0;1;M;52
744;A;0;0;0;1;M;35
745;D;1;1;1;1;K;27
746;A;0;0;0;1;M;18
747;B;0;1;0;1;K;66
748;D;1;1;1;1;K;48
749;C;1;1;0;1;K;45
750;A;0;0;0;1;M;46
751;A;0;0;0;1;M;20
752;B;0;1;0;1;K;64
753;B;0;0;0;1;M;58
754;B;0;1;0;1;K;64
755;C;0;1;0;1;K;67
756;C;1;1;1;1;K;48
757;B;0;1;0;1;K;66
758;B;0;1;0;1;K;41
759;A;0;0;0;1;M;29
760;B;0;1;0;1;K;57
761;C;0;1;0;1;K;52
762;B;0;0;0;1;M;41
763;A;0;0;0;1;M;58
764;D;1;1;1;1;K;29
765;A;0;0;0;1;M;54
766;C;0;1;0;1;K;23
767;C;1;1;0;1;K;57
768;C;1;1;1;1;K;51
769;A;0;0;0;1;M;59
770;D;1;1;1;1;K;50
771;A;0;0;0;1;M;66
772;B;0;0;0;1;M;44
773;A;0;0;0;1;M;49
774;C;1;1;1;1;K;47
775;B;0;1;0;1;K;46
776;A;0;0;0;1;M;22
777;A;0;0;0;1;M;46
778;D;1;1;1;1;K;64
779;C;1;1;0;1;K;61
780;B;0;0;0;1;K;22
781;C;1;1;0;1;K;24
782;A;0;0;0;1;M;36
783;C;1;1;1;1;K;44
784;A;0;0;0;1;M;63
785;A;0;0;0;1;M;55
786;C;1;1;1;1;K;39
787;A;0;0;0;1;M;57
788;B;0;1;0;1;K;38
789;A;0;0;0;1;M;43
790;D;1;1;1;1;K;29
791;B;0;0;0;1;K;56
792;A;0;0;0;0;M;56
793;A;0;0;0;0;M;54
794;C;1;1;0;1;K;48
795;C;1;1;1;1;K;26
796;B;0;0;0;1;K;28
797;B;0;0;0;1;M;26
798;A;0;0;0;1;M;61
799;B;0;1;0;1;K;47
800;B;0;1;0;1;K;51
